ZIP,BLDGNO1,STREET1,STSUFX1,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,full_address
10301,6,TO 14 ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,6 TO 14 ARLO RD
10301,7,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,7 ARLO RD
10301,14,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,14 ARLO RD
10301,15,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,15 ARLO RD
10301,19,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,19 ARLO RD
10301,22,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,22 ARLO RD
10301,23,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,23 ARLO RD
10301,26,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,26 ARLO RD
10301,27,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,27 ARLO RD
10301,28,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,28 ARLO RD
10301,29,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,29 ARLO RD
10301,30,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,30 ARLO RD
10301,31,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,31 ARLO RD
10301,33,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,33 ARLO RD
10301,34,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,34 ARLO RD
10301,35,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,35 ARLO RD
10301,36,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,36 ARLO RD
10301,37,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,37 ARLO RD
10301,38,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,38 ARLO RD
10301,41,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,41 ARLO RD
10301,42,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,595,15,42 ARLO RD
10301,49,ARLO,RD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,593,590,49 ARLO RD
