Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
65264896,06/14/2025 07:11:25 PM,06/14/2025 07:11:25 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030.0,695 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,09 MANHATTAN,1020500131.0,MANHATTAN,999474.0,239328.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.82356252888171,-73.94499342041004,"(40.823562528881716, -73.94499342041004)"
65267079,06/14/2025 06:53:11 PM,06/14/2025 06:53:11 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10460.0,1490 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 BRONX,2029650051.0,BRONX,1013455.0,243351.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.834569343522226,-73.89446050915083,"(40.834569343522226, -73.89446050915083)"
65268167,06/14/2025 06:53:11 PM,06/14/2025 06:53:11 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11218.0,455 OCEAN PARKWAY,OCEAN PARKWAY,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,12 BROOKLYN,3053900074.0,BROOKLYN,991753.0,171505.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.63741502026353,-73.9729661683084,"(40.63741502026353, -73.9729661683084)"
65264892,06/14/2025 06:26:05 PM,06/14/2025 06:26:05 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10463.0,150 WEST  225 STREET,WEST  225 STREET,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,08 BRONX,1022150042.0,BRONX,1008459.0,258120.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.87512093148135,-73.91246144190357,"(40.87512093148135, -73.91246144190357)"
65262715,06/14/2025 05:13:47 PM,06/14/2025 05:13:47 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10019.0,250 WEST   50 STREET,WEST   50 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,05 MANHATTAN,1010210001.0,MANHATTAN,988396.0,216832.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.76182923096574,-73.98503376979151,"(40.76182923096574, -73.98503376979151)"
65264897,06/14/2025 05:07:40 PM,06/14/2025 05:07:40 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10032.0,575 WEST  172 STREET,WEST  172 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,12 MANHATTAN,1021290001.0,MANHATTAN,1001585.0,246501.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.84324645178813,-73.93734752863537,"(40.84324645178813, -73.93734752863537)"
65269206,06/14/2025 04:40:34 PM,06/14/2025 04:40:34 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11235.0,3232 SHORE PARKWAY,SHORE PARKWAY,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,15 BROOKLYN,3087650019.0,BROOKLYN,996399.0,152362.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58486627676468,-73.95626074893555,"(40.58486627676468, -73.95626074893555)"
65262714,06/14/2025 04:22:19 PM,06/14/2025 04:22:19 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10468.0,3054 VILLA AVENUE,VILLA AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,07 BRONX,2033100010.0,BRONX,1015191.0,257658.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.873831852493794,-73.88812101691687,"(40.873831852493794, -73.88812101691687)"
65270290,06/14/2025 03:09:46 PM,06/14/2025 03:09:46 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11375.0,105-40 62 ROAD,62 ROAD,,,,,ADDRESS,FOREST HILLS,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,06 QUEENS,4021440015.0,QUEENS,1024930.0,207364.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.73574937484077,-73.8532107502099,"(40.73574937484077, -73.8532107502099)"
65267082,06/14/2025 03:03:38 PM,06/14/2025 03:03:38 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10075.0,266 EAST   78 STREET,EAST   78 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,08 MANHATTAN,1014320027.0,MANHATTAN,996325.0,220907.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.773006774111046,-73.95640434901327,"(40.773006774111046, -73.95640434901327)"
65262716,06/14/2025 02:33:34 PM,06/14/2025 02:33:34 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10003.0,113 EAST   13 STREET,EAST   13 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 MANHATTAN,1005590055.0,MANHATTAN,987179.0,206456.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.73335020666374,-73.98943141513733,"(40.73335020666374, -73.98943141513733)"
65270292,06/14/2025 02:30:33 PM,06/14/2025 02:30:33 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10462.0,2155 PAULDING AVENUE,PAULDING AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,11 BRONX,2043250001.0,BRONX,1022832.0,250999.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.855524845141545,-73.86053044648474,"(40.855524845141545, -73.86053044648474)"
65266016,06/14/2025 02:06:01 PM,06/14/2025 02:06:01 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11235.0,3232 SHORE PARKWAY SOUTH SERVICE ROAD,SHORE PARKWAY SOUTH SERVICE ROAD,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,15 BROOKLYN,3087650019.0,BROOKLYN,996399.0,152362.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58486627676468,-73.95626074893555,"(40.58486627676468, -73.95626074893555)"
65264895,06/14/2025 01:50:58 PM,06/14/2025 01:50:58 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10472.0,2010 POWELL AVENUE,POWELL AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,09 BRONX,2038010001.0,BRONX,1024038.0,241876.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.830479560431925,-73.85622502935952,"(40.830479560431925, -73.85622502935952)"
65269204,06/14/2025 01:26:37 PM,06/14/2025 01:26:37 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10457.0,611 CROTONA PARK NORTH,CROTONA PARK NORTH,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,06 BRONX,2029440001.0,BRONX,1013288.0,246333.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84275461199337,-73.89505109358801,"(40.84275461199337, -73.89505109358801)"
65263776,06/14/2025 01:02:02 PM,06/14/2025 01:02:02 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11226.0,441 OCEAN AVENUE,OCEAN AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,14 BROOKLYN,3050810001.0,BROOKLYN,994976.0,176779.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.65188769596275,-73.96134509059807,"(40.651887695962756, -73.96134509059807)"
65263775,06/14/2025 01:02:02 PM,06/14/2025 01:02:02 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11226.0,180 EAST   17 STREET,EAST   17 STREET,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,14 BROOKLYN,3051200012.0,BROOKLYN,994390.0,174728.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.64625883653614,-73.96346003048849,"(40.64625883653614, -73.96346003048849)"
65263774,06/14/2025 12:40:08 PM,06/14/2025 12:40:08 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11372.0,90-10 34 AVENUE,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 QUEENS,4014510001.0,QUEENS,1018219.0,214195.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.754527061691505,-73.87739211112014,"(40.754527061691505, -73.87739211112014)"
65263777,06/14/2025 12:34:07 PM,06/14/2025 12:34:07 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10453.0,2195 MORRIS AVENUE,MORRIS AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,05 BRONX,2031810034.0,BRONX,1011046.0,251234.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.85621348781439,-73.90313451781053,"(40.85621348781439, -73.90313451781053)"
65269203,06/14/2025 12:31:07 PM,06/14/2025 12:31:07 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11355.0,41-11 PARSONS BOULEVARD,PARSONS BOULEVARD,,,,,ADDRESS,FLUSHING,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,07 QUEENS,4050500004.0,QUEENS,1033729.0,216292.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76020959068323,-73.82139493310935,"(40.76020959068323, -73.82139493310935)"
65266018,06/14/2025 12:22:14 PM,06/14/2025 12:22:14 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030.0,117 WEST  141 STREET,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,10 MANHATTAN,1020100018.0,MANHATTAN,1001210.0,237368.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.81817972089657,-73.93872594945869,"(40.81817972089657, -73.93872594945869)"
65264898,06/14/2025 12:18:55 PM,06/14/2025 12:18:55 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10010.0,11 EAST   22 STREET,EAST   22 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,05 MANHATTAN,1008517503.0,MANHATTAN,987335.0,209017.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.740379465438394,-73.98886735264789,"(40.740379465438394, -73.98886735264789)"
65262713,06/14/2025 12:18:55 PM,06/14/2025 12:18:55 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11206.0,536 FLUSHING AVENUE,FLUSHING AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 BROOKLYN,3017190001.0,BROOKLYN,997549.0,194143.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.69954446394876,-73.95203812002367,"(40.69954446394876, -73.95203812002367)"
65268168,06/14/2025 12:09:54 PM,06/14/2025 12:09:54 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10451.0,751 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,04 BRONX,2024820030.0,BRONX,1004604.0,239832.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.82493553386665,-73.92645644504721,"(40.82493553386665, -73.92645644504721)"
65266017,06/14/2025 11:57:31 AM,06/14/2025 11:57:31 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10463.0,3130 ALBANY CRESCENT,ALBANY CRESCENT,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,08 BRONX,2032670020.0,BRONX,1011052.0,259548.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.87903285457448,-73.90307957505762,"(40.87903285457448, -73.90307957505762)"
65263780,06/14/2025 10:55:28 AM,06/14/2025 10:55:28 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030.0,695 SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,09 MANHATTAN,1020500131.0,MANHATTAN,999474.0,239328.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.82356252888171,-73.94499342041004,"(40.823562528881716, -73.94499342041004)"
65263778,06/14/2025 10:46:25 AM,06/14/2025 10:46:25 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10003.0,35 EAST    9 STREET,EAST    9 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,02 MANHATTAN,1005610045.0,MANHATTAN,986018.0,205923.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.731887560844534,-73.99362074159502,"(40.731887560844534, -73.99362074159502)"
